codigo_completo,naturaleza,grupo,subgrupo,codigo,nombre,descripcion
1,1,,,,INGRESOS CORRIENTES,"Provienen del poder impositivo ejercido por el Estado de la venta de bienes y servicios, de la renta del patrimonio y de ingresos sin contraprestación . Están conformados por impuestos ; fondos de la seguridad social ; tasas y contribuciones ; venta de bienes y servicios ; renta de inversiones ; multas tributarias y no tributarias ; transferencias , donaciones ;y, otros ingresos Enlaejecución,su devengo produce contablemente modificaciones in directa senla estructura patrimonial de Estado ,debido a la utilización de cuentas operacionales o de resultados que permiten establecer previamente el resultado de la gestión anual."
1.1,1,1,,,IMPUESTOS,"Ingresos que el Estado obtiene de personas naturales y de las sociedades, en razón del derecho a cobrar a los contribuyentes, sin que exista una contraprestación directa, divisible y cuantificable en forma de bienes o servicios de conformidad con las disposiciones legales vigentes."
1.1.01,1,1,01,,"Sobre laRenta, Utilidades y Ganancias de Capital","Ingresos provenientes del gravamen a la renta global o presunta de las personas naturales o jurídicas ;a las utilidades de las empresas; y, a las ganancias de capital obtenidas por la venta de predios o por premios en los juegos de azar."
1.1.01.01,1,1,01,01,A la Renta Global,"Ingresos provenientes del gravamen a rentas de fuente ecuatoriana y de las obtenidas en el exterior por personas naturales o jurídicas ecuatorianas, por sociedades nacionales o extranjeras residentes en el país y por sucesiones indivisas."
1.1.01.02,1,1,01,02,A la Utilidad por la Venta de Predios Urbanos y Plusvalía,Ingresos por Impuestos a la utilidad generada en la venta de predios ubicados dentro de los perímetros urbanos.
1.1.01.03,1,1,01,03,A la Utilidad por la Venta de Predios Rurales,"Ingresos que las personas naturales o jurídicas , deben pagar por la utilidad generada en la venta de predios ubicados fuera de los límites de las zonas urbanas en el territorio nacional."
1.1.01.04,1,1,01,04,A los Juegos de Azar,Ingresos por impuestos a los beneficios obtenidos en juegos de azar legalmente establecidos.
1.1.01.05,1,1,01,05,A la Renta de Empresas Petroleras,Ingresos provenientes de la imposición a la renta de empresas petroleras que tienen suscritos o suscriban contratos de exploración y explotación de hidrocarburos en cualquier modalidad contractual.
1.1.01.06,1,1,01,06,Sobre las Utilidades,"Ingresos provenientes del tributo aplicable a las utilidades de personas naturales , sociedades y fideicomisos mercantiles para la planificación, construcción y reconstrucción de la infraestructura pública y privada afectada por desastres de origen natural."
1.1.01.07,1,1,01,07,A los Ingresos Gravados Iguales o Superiores a un Millón de Dólares,"Gravamen único y temporal sobre ingresos iguales o superiores a un millón de dólares de sociedades , inclusive los ingresos que se encuentren bajo régimen de impuesto a la renta único."
1.1.01.08,1,1,01,08,A la Renta Global por Anticipado,Ingresos provenientes de la recaudación anticipada del Impuesto a la Renta.
1.1.01.09,1,1,01,09,"SobrelasUtilidadesdelasSociedadessegúnlaLeyOrgánicaparaEnfrentarelConflictoArmadoInterno,laCrisis","Social y Económica Ingresos provenientes del tributo aplicable a las utilidades gravada sconel impuesto a la renta sobre las sociedades , para en frentarelConflictoArmadoI nternouotramedidasustitut iva con el mismo objetoyefecto,conformelo esta blecidoenla Ley Orgánica para Enfrentar el Conflicto Armado Interno, la crisis social y económica."
1.1.01.10,1,1,01,10,"SobreUtilidadesdelosBancosyCooperativasdeAhorroyCrédito,segúnlaLeyOrgánicaparaEnfrentarelConflicto","Armado Interno, la Crisis Social y Económica Ingresos provenientes del tributo aplicable a las utilidades gravadas con el impuesto a la renta sobre los Bancos y Cooperativas de Ahorro y Crédito ,conformelo esta blecidoenlaLeyOrgánica para Enfrentarel Con flictoArmadoInterno,la crisis social y económica."
1.1.01.99,1,1,01,99,"A Otras Rentas, Utilidades y Beneficios del Capital","Impuestos que gravan a otras rentas, utilidades y beneficios del capital"
1.1.02,1,1,02,,Sobre laPropiedad,"Impuestos que gravan la propiedad de bienes muebles, inmuebles, derechos representativos de capital y otros que conforman el patrimonio."
1.1.02.01,1,1,02,01,A los Predios Urbanos,Ingresos por impuestos a la propiedad de predios ubicados en zonas urbanas; incluye adicionales.
1.1.02.02,1,1,02,02,A los Predios Rurales,Ingresos por impuestos a la propiedad de predios ubicados fuera del perímetro urbano; incluye adicionales
1.1.02.03,1,1,02,03,A la Inscripción en el Registro de la Propiedad o en el Registro Mercantil,"Ingresos por impuestos al registro de contratos, documentos y actos de conformidad con normativa vigente."
1.1.02.04,1,1,02,04,A las Transferencias de Dominio,"Ingresos por impuestos que gravan las transferencias de dominio de bienes , valores y otros actosprevistosenlanormat iva vigente."
1.1.02.05,1,1,02,05,De Vehículos Motorizados de Transporte Terrestre,Ingresos por gravamen a la propiedad de vehículos motorizados destinadosal transporte terrestre de personas y/ocargade uso particular o público.
1.1.02.06,1,1,02,06,De Alcabalas,"Ingresos por el impuesto que grava los actosy contratos enelámbitode los Gobiernos Autónomos Descentralizados , incluye adicionales. 1"
1.1.02.07,1,1,02,07,AlosActivosTotales,"Ingresos provenientes del gravamen a la tenencia de riqueza o de capital ,de las personas naturales o jurídicas que ejercen habitualm ente actividades de tipo comercial,industrialo financiero"
1.1.02.08,1,1,02,08,De Vehículos Motorizados de Transporte Aéreo y Acuático,"Ingresos provenientes del gravamen esta blecidoala propiedad de vehículos motorizados ,aéreosy acuáticos degalaode recreo que no se destinen al transporte público de pasajeros."
1.1.02.10,1,1,02,10,A la Propiedad de Inmuebles Urbanos para Vivienda de Interés Social,Ingresos provenientes del gravamen establecidos obrela propiedad de bienes inmuebles urbanos destinadosa financiar la vivienda de interés social.
1.1.02.11,1,1,02,11,Impuesto a las Tierras Rurales,Impuesto que grava la propiedad o posesión de inmuebles rurales.
1.1.02.12,1,1,02,12,Impuesto a los Activos en el Exterior,"Ingresos provenientes del impuesto sobre inversiones, fondos disponibles o inversiones en entidades fuera del territorio nacional."
1.1.02.13,1,1,02,13,Sobre el Patrimonio,"Ingresos provenientes del tributo aplicable al patrimonio de conformidad con lanormativavig ente de personas naturales para la planificación, construcción y reconstrucción de la infraestructura pública y privada afectada por desastres de origen natural."
1.1.02.14,1,1,02,14,Sobre Bienes Inmuebles y Derechos Representativos de Capital,"Ingresos provenientes del tributo aplicable a bienes inmuebles y derechos representativosde capital existen tesenel Ecuador de propiedad de Sociedades residentes en para ísos fiscales del exterior , para la planificación , construcción y reconstrucción de la infraestructura pública y privada afectada por desastres de origen natural."
1.1.02.15,1,1,02,15,Sobre el Patrimonio para Impulso Económico Post Pandemia,Ingresos provenientes del tributo aplicable alpatrimonio deconformidad conla normativavig ente depersonas naturales y Sociedades para cobertura delimpacto económico en las finanzas públicas generadoporla pandemia ysusconsecuencias directas en el empleo público y privado.
1.1.02.99,1,1,02,99,Otros Impuestos Sobre la Propiedad,Ingresos provenientes de otros impuestos a la propiedad no considerados en los ítems anteriores.
1.1.03,1,1,03,,Al Consumo de Bienes y Servicios,Impuestos que gravan el consumo de bienes de procedencia nacional o importados y a la prestación de servicios.
1.1.03.12,1,1,03,12,A los Espectáculos Públicos,Ingresos provenientes de gravámenes a los espectáculos públicos.
1.1.03.15,1,1,03,15,Al Consumo de Cigarrillos recaudados por el SRI,"Ingresos provenientes del Impuesto a los Consumos Especiales, aplicado a los cigarrillos y sucedáneos de procedencia nacional, recaudados por el Servicio de Rentas Internas."
1.1.03.16,1,1,03,16,Al Consumo de Cerveza recaudados por el SRI,"Ingresos provenientes del ICE aplicado al consumo de cerveza de procedencia nacional, recaudados por el Servicio de Rentas Internas."
1.1.03.17,1,1,03,17,Al Consumo de Bebidas no Alcohólicas y Gaseosas con Contenido de Azúcar recaudados por el SRI,"Ingresos provenientes del ICE aplicado al consumo de bebidas no alcohólicas y gaseosas con contenido de azúcar incluyendo jarabes o concentrados de procedencia nacional, recaudados por el Servicio de Rentas Internas."
